time = 2.78, epoch = 1, iter = 32, loss = 7.60
time = 2.22, epoch = 1, iter = 64, loss = 6.44
time = 1.95, epoch = 1, iter = 96, loss = 6.04
time = 1.91, epoch = 1, iter = 128, loss = 5.85
time = 2.64, epoch = 1, iter = 160, loss = 5.75
time = 2.33, epoch = 1, iter = 192, loss = 5.70
time = 2.34, epoch = 1, iter = 224, loss = 5.66
time = 2.00, epoch = 1, iter = 256, loss = 5.58
time = 2.00, epoch = 1, iter = 288, loss = 5.40
time = 1.93, epoch = 1, iter = 320, loss = 5.32
time = 1.95, epoch = 1, iter = 352, loss = 5.28
time = 1.94, epoch = 1, iter = 384, loss = 5.20
time = 1.85, epoch = 1, iter = 416, loss = 5.12
time = 1.86, epoch = 1, iter = 448, loss = 5.12
time = 1.87, epoch = 1, iter = 480, loss = 4.97
time = 1.84, epoch = 1, iter = 512, loss = 4.96
time = 1.89, epoch = 1, iter = 544, loss = 4.93
time = 1.79, epoch = 1, iter = 576, loss = 4.87
time = 1.83, epoch = 1, iter = 608, loss = 4.77
time = 1.83, epoch = 1, iter = 640, loss = 4.73
time = 1.88, epoch = 1, iter = 672, loss = 4.66
time = 1.90, epoch = 1, iter = 704, loss = 4.59
time = 2.08, epoch = 1, iter = 736, loss = 4.54
time = 1.88, epoch = 1, iter = 768, loss = 4.46
time = 1.88, epoch = 1, iter = 800, loss = 4.41
time = 1.92, epoch = 1, iter = 832, loss = 4.33
time = 1.85, epoch = 1, iter = 864, loss = 4.26
time = 1.75, epoch = 1, iter = 896, loss = 4.15
time = 1.94, epoch = 1, iter = 928, loss = 4.18
time = 1.91, epoch = 1, iter = 960, loss = 4.13
time = 1.84, epoch = 1, iter = 992, loss = 3.99
time = 1.93, epoch = 1, iter = 1024, loss = 4.04
time = 1.81, epoch = 1, iter = 1056, loss = 3.91
time = 1.91, epoch = 1, iter = 1088, loss = 3.87
time = 2.01, epoch = 1, iter = 1120, loss = 3.90
time = 1.89, epoch = 1, iter = 1152, loss = 3.79
time = 1.93, epoch = 1, iter = 1184, loss = 3.78
time = 1.93, epoch = 1, iter = 1216, loss = 3.72
time = 1.94, epoch = 1, iter = 1248, loss = 3.62
time = 1.78, epoch = 1, iter = 1280, loss = 3.62
time = 1.88, epoch = 1, iter = 1312, loss = 3.57
time = 1.88, epoch = 1, iter = 1344, loss = 3.51
time = 1.87, epoch = 1, iter = 1376, loss = 3.44
time = 1.91, epoch = 1, iter = 1408, loss = 3.49
time = 1.94, epoch = 1, iter = 1440, loss = 3.43
time = 1.96, epoch = 1, iter = 1472, loss = 3.46
time = 1.98, epoch = 1, iter = 1504, loss = 3.34
time = 1.92, epoch = 1, iter = 1536, loss = 3.25
time = 1.92, epoch = 1, iter = 1568, loss = 3.30
time = 1.96, epoch = 1, iter = 1600, loss = 3.22
time = 1.89, epoch = 1, iter = 1632, loss = 3.22
time = 1.91, epoch = 1, iter = 1664, loss = 3.20
time = 1.94, epoch = 1, iter = 1696, loss = 3.12
time = 1.87, epoch = 1, iter = 1728, loss = 3.11
time = 1.93, epoch = 1, iter = 1760, loss = 3.22
time = 1.91, epoch = 1, iter = 1792, loss = 3.04
time = 1.91, epoch = 1, iter = 1824, loss = 3.00
time = 2.00, epoch = 1, iter = 1856, loss = 3.06
time = 1.89, epoch = 1, iter = 1888, loss = 2.98
time = 1.92, epoch = 1, iter = 1920, loss = 2.92
time = 2.00, epoch = 1, iter = 1952, loss = 2.92
time = 1.90, epoch = 1, iter = 1984, loss = 2.89
time = 1.94, epoch = 1, iter = 2016, loss = 2.83
time = 1.95, epoch = 1, iter = 2048, loss = 2.82
time = 1.93, epoch = 1, iter = 2080, loss = 2.81
time = 1.88, epoch = 1, iter = 2112, loss = 2.74
time = 1.91, epoch = 1, iter = 2144, loss = 2.74
time = 1.96, epoch = 1, iter = 2176, loss = 2.73
time = 1.95, epoch = 1, iter = 2208, loss = 2.76
time = 1.97, epoch = 1, iter = 2240, loss = 2.67
time = 1.96, epoch = 1, iter = 2272, loss = 2.71
time = 1.95, epoch = 1, iter = 2304, loss = 2.65
time = 2.00, epoch = 1, iter = 2336, loss = 2.60
time = 1.91, epoch = 1, iter = 2368, loss = 2.57
time = 1.93, epoch = 1, iter = 2400, loss = 2.60
time = 1.89, epoch = 1, iter = 2432, loss = 2.57
time = 1.95, epoch = 1, iter = 2464, loss = 2.53
time = 2.06, epoch = 1, iter = 2496, loss = 2.52
time = 1.93, epoch = 1, iter = 2528, loss = 2.50
time = 1.90, epoch = 1, iter = 2560, loss = 2.46
time = 2.05, epoch = 1, iter = 2592, loss = 2.48
time = 1.97, epoch = 1, iter = 2624, loss = 2.47
time = 1.96, epoch = 1, iter = 2656, loss = 2.48
time = 2.00, epoch = 1, iter = 2688, loss = 2.47
time = 1.95, epoch = 1, iter = 2720, loss = 2.47
time = 1.97, epoch = 1, iter = 2752, loss = 2.35
time = 1.94, epoch = 1, iter = 2784, loss = 2.36
time = 1.99, epoch = 1, iter = 2816, loss = 2.37
time = 1.98, epoch = 1, iter = 2848, loss = 2.31
time = 1.96, epoch = 1, iter = 2880, loss = 2.27
time = 1.90, epoch = 1, iter = 2912, loss = 2.31
time = 1.93, epoch = 1, iter = 2944, loss = 2.26
time = 1.91, epoch = 1, iter = 2976, loss = 2.23
time = 1.90, epoch = 1, iter = 3008, loss = 2.23
time = 1.96, epoch = 1, iter = 3040, loss = 2.27
time = 1.97, epoch = 1, iter = 3072, loss = 2.21
time = 2.32, epoch = 1, iter = 3104, loss = 2.25
time = 2.14, epoch = 1, iter = 3136, loss = 2.17
time = 2.10, epoch = 1, iter = 3168, loss = 2.24
time = 2.17, epoch = 1, iter = 3200, loss = 2.16
time = 2.00, epoch = 1, iter = 3232, loss = 2.14
time = 2.24, epoch = 1, iter = 3264, loss = 2.16
time = 2.50, epoch = 1, iter = 3296, loss = 2.18
time = 2.53, epoch = 1, iter = 3328, loss = 2.10
time = 2.22, epoch = 1, iter = 3360, loss = 2.08
time = 2.03, epoch = 1, iter = 3392, loss = 2.07
time = 2.10, epoch = 1, iter = 3424, loss = 2.11
time = 2.32, epoch = 1, iter = 3456, loss = 2.01
time = 2.39, epoch = 1, iter = 3488, loss = 2.04
time = 2.49, epoch = 1, iter = 3520, loss = 2.07
time = 2.57, epoch = 1, iter = 3552, loss = 2.05
time = 2.08, epoch = 1, iter = 3584, loss = 2.02
time = 2.35, epoch = 1, iter = 3616, loss = 2.01
time = 2.06, epoch = 1, iter = 3648, loss = 2.02
time = 2.00, epoch = 1, iter = 3680, loss = 1.97
time = 2.41, epoch = 1, iter = 3712, loss = 1.99
time = 2.22, epoch = 1, iter = 3744, loss = 1.99
time = 2.22, epoch = 1, iter = 3776, loss = 1.96
time = 2.14, epoch = 1, iter = 3808, loss = 1.94
time = 2.11, epoch = 1, iter = 3840, loss = 1.93
time = 2.03, epoch = 1, iter = 3872, loss = 1.94
time = 2.23, epoch = 1, iter = 3904, loss = 1.95
time = 2.63, epoch = 1, iter = 3936, loss = 1.91
time = 2.29, epoch = 1, iter = 3968, loss = 1.85
time = 2.76, epoch = 1, iter = 4000, loss = 1.92
time = 2.58, epoch = 1, iter = 4032, loss = 1.91
time = 2.42, epoch = 1, iter = 4064, loss = 1.82
time = 2.45, epoch = 1, iter = 4096, loss = 1.81
time = 2.54, epoch = 1, iter = 4128, loss = 1.85
time = 2.56, epoch = 1, iter = 4160, loss = 1.87
time = 2.54, epoch = 1, iter = 4192, loss = 1.85
time = 2.30, epoch = 1, iter = 4224, loss = 1.76
time = 2.56, epoch = 1, iter = 4256, loss = 1.77
time = 2.60, epoch = 1, iter = 4288, loss = 1.87
time = 2.35, epoch = 1, iter = 4320, loss = 1.74
time = 2.47, epoch = 1, iter = 4352, loss = 1.79
time = 2.30, epoch = 1, iter = 4384, loss = 1.76
time = 2.17, epoch = 1, iter = 4416, loss = 1.76
time = 1.97, epoch = 1, iter = 4448, loss = 1.72
time = 2.08, epoch = 1, iter = 4480, loss = 1.73
time = 1.93, epoch = 1, iter = 4512, loss = 1.76
time = 1.85, epoch = 1, iter = 4544, loss = 1.73
time = 2.00, epoch = 1, iter = 4576, loss = 1.69
time = 1.85, epoch = 1, iter = 4608, loss = 1.68
time = 1.92, epoch = 1, iter = 4640, loss = 1.71
time = 1.95, epoch = 1, iter = 4672, loss = 1.66
time = 1.95, epoch = 1, iter = 4704, loss = 1.73
time = 1.93, epoch = 1, iter = 4736, loss = 1.63
time = 1.95, epoch = 1, iter = 4768, loss = 1.66
time = 1.87, epoch = 1, iter = 4800, loss = 1.63
time = 1.83, epoch = 1, iter = 4832, loss = 1.62
time = 2.45, epoch = 2, iter = 32, loss = 1.66
time = 1.91, epoch = 2, iter = 64, loss = 1.60
time = 1.89, epoch = 2, iter = 96, loss = 1.65
time = 2.04, epoch = 2, iter = 128, loss = 1.63
time = 1.95, epoch = 2, iter = 160, loss = 1.56
time = 1.95, epoch = 2, iter = 192, loss = 1.57
time = 1.89, epoch = 2, iter = 224, loss = 1.57
time = 1.92, epoch = 2, iter = 256, loss = 1.58
time = 1.88, epoch = 2, iter = 288, loss = 1.54
time = 1.99, epoch = 2, iter = 320, loss = 1.61
time = 1.88, epoch = 2, iter = 352, loss = 1.56
time = 2.11, epoch = 2, iter = 384, loss = 1.65
time = 2.04, epoch = 2, iter = 416, loss = 1.55
time = 1.87, epoch = 2, iter = 448, loss = 1.52
time = 1.96, epoch = 2, iter = 480, loss = 1.50
time = 1.83, epoch = 2, iter = 512, loss = 1.49
time = 1.88, epoch = 2, iter = 544, loss = 1.54
time = 1.86, epoch = 2, iter = 576, loss = 1.51
time = 1.84, epoch = 2, iter = 608, loss = 1.52
time = 1.89, epoch = 2, iter = 640, loss = 1.49
time = 1.98, epoch = 2, iter = 672, loss = 1.48
time = 1.91, epoch = 2, iter = 704, loss = 1.51
time = 2.02, epoch = 2, iter = 736, loss = 1.50
time = 2.00, epoch = 2, iter = 768, loss = 1.53
time = 1.91, epoch = 2, iter = 800, loss = 1.51
time = 2.04, epoch = 2, iter = 832, loss = 1.49
time = 2.10, epoch = 2, iter = 864, loss = 1.48
